AÑO JUDICIAL;"TÍTULO GENERAL  
(MATERIA DEL RECURSO)";"TÍTULO ESPECIFICO 
(SUMILLA)";FUENTE LIBRO
1939;***;Las resoluciones expedidas por un juez extranjero respecto de actos de jurisdicción voluntaria, no requieren el exequatur para producir efectos en el Perú;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Establecida, por resolución que aprobó la transacción, la forma de prestar alimentos, no puede variarse sino por actos posteriores que modifiquen sustancialmente la situación;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;En la venta de inmuebles de una quiebra la totalidad de los gastos notariales y la alcabala de enajenación deben ser pagados por la Sindicatura ;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;La escritura imperfecta, que contiene reconocimiento de hijo natural y cuya protocolización se ha solicitado después del fallecimiento de su otorgante, no es título para declarar heredero dentro del procedimiento no contencioso.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Durante el estado de indivisión y sujeto a los bienes de una testamentaria de administración judicial, ninguno de los herederos puede exigir frutos del bien que especialmente le hubiere señalado el testador.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Los indígenas, por presunción legal, son dueños de las tierras que poseen.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;La modificación del contrato de venta aumentando el precio pagado, no modifica el derecho del retrayente a oblar el pactado en la primitiva escritura. Dentro del juicio de retracto no puede resolverse la nulidad de la escritura de modificación.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;"La ley no establece la inscripción de los mandatos bajo pena de nulidad o como condición de validez del título; y por lo tanto, presentando en juicio un poder no inscrito, prueba plenamente la representación que confiere.";Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Es nulo el embargo trabado en virtud de un crédito alimentario ficticio, con el propósito de perjudicar el derecho alimentario declarado, por ejecutoría de los tribunales, en favor del hijo ilegítimo del obligado.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;El ejercicio de la acción pauliana: es nulo el embargo trabado en virtud de un crédito alimentario ficticio, con el propósito de perjudicar el derecho alimentario reconocido, por ejecutoria de los tribunales, en favor de los hijos ilegítimos del obligado.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;La acción civil de indemnización de daños, causados por un hecho delictuoso, dirigida contra el subsidiariamente responsable, no puede ejercitarse sino después que se haya declarado la imputabilidad y responsabilidad del autor directo del daño.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Los bienes de los que no dispuso el testador que, sin instituir herederos, distribuye su patrimonio en legados, corresponden a sus herederos legales.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Fijado en el fallo condenatorio el monto de la responsabilidad civil, la parte agraviada debe efectuar el cobro en el expediente criminal respectivo.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Si el hecho resultare imposible, la obligación queda extinguida y el deudor sujeto, por la inejecución del contrato, a las obligaciones previstas en los artículos 1184 y 1185 del Código Civil.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Los directores de los asilos son curadores legítimos interinos de los incapaces asilados y, por tanto, es válido el procedimiento seguido con citación de dicho curador.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;El fotograbador de una imprenta no está comprendido en las leyes del empleado.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;La madre del cónyuge, fallecido durante la secuela del juicio, no es parte en una causa de divorcio.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Represión de un delito de lesiones, por negligencia, en un evento deportivo.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Es nula la declaración prestada por la hermana de un acusado a quien no se le ha advertido del derecho que le asiste, conforme a la ley para rehusar la declaración.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;El juicio oral debe realizarse en el local a que se refiere el artículo 244 de la L. O. del P. J., bajo pena de nulidad.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;No cabe establecer responsabilidad civil en favor del Estado por la muerte de un menor, como consecuencia del delito de abandono en que han incurrido sus padres.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;El art. 7º de la ley de 26 de junio de 1918 prohibe de un modo absoluto la capitalización de intereses.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Represión de un delito contra el honor sexual en agravio de una mujer de 18 años, por el procedimiento de oficio.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;"Aplicación de la ley 8439; indemnización por la muerte de un obrero como consecuencia de enfermedad profesional, después de declararse fundada la revisión entablada ante la Corte Suprema.";Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Solo el Ministerio Público puede denunciar los delitos perseguibles de oficio, cuando en un proceso civil, hay indicios razonables de su comisión.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;No obstante haberse contraído matrimonio civil, no está obligado el marido a dar alimentos a la mujer que se niega a hacer vida comun mientras no se realice el matrimonio religioso.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;La sentencia recaída en el juicio de divorcio que produce los efectos de la nulidad, no es suceptible de contradicción.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;El Magistrado que ha intervenido como juez, no puede formar parte del Tribunal que debe juzgar el delito a que se refiere la instrucción actuada con su intervención.;Anales Judiciales de la Corte Suprema de Justicia 1939
1939;***;Conforme a la ley No. 9014, la prescripción tratándose de delitos que la ley castiga con pena - alternativa debe contemplarse en el acto de juzgamiento.;Anales Judiciales de la Corte Suprema de Justicia 1939
1940;***;El delito contra el honor sexual solo es justiciable, con todo el rigor de la ley, cuando se practica en agravio de una menor de 16 años, cuya edad no ofrece duda y ha observado antes conducta moral.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El detentador no prescribe por ningún tiempo por las cosas que posee para otro, pues el vicio de la precariedad en la posesión es absoluto, perpetuo e indeleble.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;No pueden acumularse los capitales de dos compañías, que tienen un mismo gerente, para computar el monto de la indemnización debida a un empleado que ha prestado servicios a ambas entidades.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Los contratos celebrados por menores de 17 o más años, no son nulos ipso jure, sino anulables, en cuanto perjudiquen los intereses de dichos menores.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;No puede exonerarse al padre de la obligación de alimentar a su hija de 20 años de edad, cuando ésta no puede proveer a su subsistencia, por seguir con éxito sus estudios para obtener una carrera.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;No tiene derecho a compensación, ni indemnización de ninguna clase, el empleado que abandona el trabajo alegando que es despedida indirecta la reducción de su sueldo en la que había convenido.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El derecho no toma en cuenta como lucro frustrado, para los efectos de la indemnización, la posibilidad de importantes ganancias, abonadas, por una pequeña probabilidad.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La calidad del servicio prestado determina la condición de empleado.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El contrato de compra-venta queda perfeccionado desde que ambos contratantes convinieron en la cosa y en el precio.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Prescripción de la acción de un empleado para reclamar los beneficios que le acuerdan las leyes.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Nulidad de una escritura en que el marido hace cesión de bienes a su mujer en pago de parafernales.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La dejación del cargo de albacea, por no haber practicado los inventarios judiciales, solo es aplicable, como causal de remoción al albacea en funciones.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Aun cuando el segundo matrimonio se hubiera realizado en forma religiosa, constituye delito de bigamia, el hecho de contraer nuevo enlace estando viva la mujer.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Las comunidades de indígenas no pueden comparecer en juicio si no están reconocidas oficialmente.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Aplicación del art. 6º de la ley 4916: la indemnización queda reducida a la mitad, cuando el desmedro de los negocios del principal se ha presentado en forma intempestiva.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;En las acciones sobre indemnización por culpa del empresario, sustanciadas ante el fuero común, no pueden aplicarse las leyes sobre accidente del trabajo.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;No es de abono el período de tiempo que el principal dispensa al empleado, conforme al art. 24 del Reglamento de 22 de junio de 1928.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Es inoficioso el procedimiento de rendición de cuentas para esclarecer los resultados de la administración de una compañía.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La pensión de cesantía de los servidores de las E. E. A. A. debe calcularse considerando también los salarios percibidos en los días feriados.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El Estado y no las Juntas de Obras Públicas, es el obligado a pagar las indemnizaciones por los accidentes del trabajo ocurridos en la ejecución de las obras encargadas a dichas Juntas.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Absolución de un encausado por el delito de lesiones, por caso de legítima defensa.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El montepío dejado por el causante debe ser percibido, por iguales partes, entre la hija del primer matrimonio y su cónyuge.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El hermano está obligado a prestar alimentos a sus hermanas solteras mayores de 18 años y que no pueden atender por sí a su subsistencia.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Es improcedente la acumulación de procedimientos sobre declaratoria de herederos del causante y del presunto causa-habiente.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Pueden darse en prenda agrícola las cosechas, los frutos pendientes o separados de la planta, pero no las raíces, ni las mejoras abonables de otra naturaleza.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El comprador por cuya culpa se demora la entrega de la cosa vendida carece de acción para demandar por ese motivo la rescisión del contrato ;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La reparación y la indemnización civil se rigen por lo dispuesto en el Código Civil, conforme a la novísima ley No. 9014.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La pensión de montepio debe dividirse entre las hijas del causante.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La inscripción de dominio de un inmueble no favorece al tercero que contrata sobre él cuando éste conoce la donación del mismo bien hecha anteriormente con tradición pública y solemne.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;No procede la acción ejecutiva para el pago de una suma de dinero cuando de la propia escritura pública acompañada no resulta cantidad líquida exequible.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Es improcedente la declaratoria de abandono de la instancia en una causa sobre accidente de trabajo, que se encuentre en el período de investigación que debe practicarse de oficio por el Juez.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;No hay responsabilidad por las consecuencias del daño sobrevenido sin culpa.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Condición de los Agentes de Seguros de Vida ante las leyes del empleado...;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Prescripción de la acción de reparación civil proveniente de un duelo;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Daños y perjuicios causados por la inejecución de un contrato de locación de servicios;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Si el que demanda la rescisión de la venta por lesión no prueba el valor de la cosa, no procede la prueba de oficio sobre dicha tasación;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El particular cesionario de un crédito del Fisco, no puede continuar el procedimiento coactivo iniciado para hacer efectivo el pago de la deuda;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La adjudicación que se haga al ejecutante por falta de postores, se entiende sin perjuicio de las hipotecas y embargos anteriores a los del ejecutante;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Inscrito en el Registro el dominio de una persona sobre bien determinado, no producen efecto contra tercero los actos traslativos que esa persona practique, mientras no sean igualmente inscritos;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Para los efectos de la rebaja de la merced conductiva, debe considerarse que la pérdida de la tercera parte o menos de la cosecha es siempre de cargo del conductor;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;En el procedimiento no contencioso, declarados unos pretendientes como herederos, no es legal remitir a la vía ordinaria la declaración de los demás interesados;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La cláusula por la que el deudor se obliga a transferir a su acreedor determinado derecho por el saldo de la deuda, importa un pacto cdmisorio, que es nulo por estar prohibido por la ley y por ser opuesto al orden público;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Nulidad de testamento.-Los actos anteriores a la interdicción del lcco o fatuo pueden ser anulados, si la causa de la interdicción existía notoriamente en la época en que se verificaron;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Invalidez total de la cláusula relativa a intereses de un contrato de mutuo, por haberse estipulado contra prohibición de la ley 2760. ---El íntegro de lo pagado por créditos debe aplicarse a amortización del capital.-Devolución del capital prestado en oro;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La preferencia de los créditos se resuelve según la naturaleza de éstos y no por la fecha de los embargos.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Es inscribible en el Registro un matrimonio de urgencia celebrado conforme al Código de Procedimientos Civiles, por cuanto no habiendo sido ratificado por el Congreso el decreto-ley No. 7282 no rigen sus disposiciones;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Parte del precio de una venta, no declarada en la escritura respectiva;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Tratándose de la sustracción de menores, es de aplicación el Art. 229 del Código Penal y no el 228 del mismo libro que se refiere al rapto de una mujer: correspondiendo al delincuente la obligación de pagar dote y reparación civil a la agraviada;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Constituye ofensa arrojar un globo con agua a persona, que no juega Carnaval y que en su propio domicilio está dedicada a su trabajo. El delito es punible aunque sea distinta la persona a quién el actor se propuso ofender;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;No pueden acumularse las acciones de nulidad de matrimonio y de divorcio por ser implicantes;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Procede el interdicto de recobrar respecto de semovientes;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Después de citadas las partes para mejor resolver, si se hace preciso reemplazar a alguno de los vocales que suscribió el decreto de petición de autos, debe notificarse los llamamientos a los litigantes que intervienen en el juicio;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La declaración del derecho de un empleado para que se le otorgue su libreta respectiva, corresponde hacerla al Juez del Trabajo;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La valuación de frutos dejados de percibir en una heredad, debe hacerse teniendo en consideración la costumbre del lugar, ubicación de la tierra y demás circunstancias que hagan más verídica la estimación del daño;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La Resolución Suprema de 30 de mayo de 1934, establece como única sanción por las infracciones en la inutilización de timbres, la pena de multa;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Aprobadas las cuentas del tutor, procede el pago del saldo en vía de ejecución de sentencia, sin otro trámite, en el caso respectivo, que el señalado por al Art. 1149 del C. de P. C.;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;No estando inserito en el Registro Civil el matrimonio de urgencia, no puede declararse heredero al cónyuge sobreviviente dentro del procedimiento no contencioso de declaratoria de herederos;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Juzgamiento de un delito de parricidio cometido en estado de grave alteración de la conciencia;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Responsabilidad penal del propietario de un vehículo;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Corresponde al Tribunal Correccional del lugar donde se cumple la pena, la sustanciación y resolución de las solicitudes de liberación condicional de los condenados, cualquiera que sea el Tribunal que los hubiere sentenciado;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El padre que ha reconocido voluntariamente a su hijo ilejítimo cumple con la obligación de alimentarlo, manteniéndolo interno en un establecimiento de instrucción;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La sentencia que declara disuelto el vínculo matrimonial por el transcurso de un año después de la fecha del fallo en las acciones de separación por mutuo disenso, debe ser elevada en consulta al Tribunal Superior;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;No procede recurso de nulidad contra los actos que resuelven la recusación formulada contra el Juez Instructor;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El maestro cortador de una sastrería no está comprendido en las leyes del empleado;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La falsedad de una escritura pública debe ventilarse en la vía civil, sin que sea procedente la apertura de instrucción mientras no se declare en juicio ordinario tal hecho;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Para declarar la filiación, son insuficientes las declaraciones testimoniales que afirman la posesión constante de hijo, sin referencia a hechos directos del padre que envolvía el reconocimiento del hijo;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;La obligación del marido de prestar alimentos a la mujer, será desde la fecha de la ejecutoria que declara el divorcio absoluto;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Habiéndose tomado en cuenta en la parte expositiva del fallo lo relativo a un incidente, no es causal de insubsistencia el hecho de no haberse contemplado en su parte resolutiva;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;El defensor de un encausado carece de personería para deducir excepciones;Anales Judiciales de la Corte Suprema de Justicia 1940
1940;***;Basta la prueba de la filiación paterna para que la madre ejercite la acción de alimentos en favor de su hija mayor insana;Anales Judiciales de la Corte Suprema de Justicia 1940
1941;***;El arrendatario no adquiere por prescripción la propiedad locada, como tampoco la gana por ese medio el heredero de aquél que no entró en posesión de dicho bien de buena fé y a título sucesorio.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;El consentimiento para el reconocimiento efectuado por el padre de un hijo ilegítimo, mayor de edad, no es necesario cuando el acto se realizó bajo el imperio del Código Civil derogado, siendo ya dicho hijo mayor de 21.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Está obligada la Empresa a proporcionar al accidentado en el trabajo los artefactos que sustituyan los órganos perdidos. ;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;No puede oponerse a la inscripción de una partida de nacimiento quien no demuestre tener interés en dicho acto.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Prescripción de la acción penal en un delito de desacato.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Prescripción de la acción penal en un delito de lesiones.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Es cuestión prejudicial a la acción de adulterio la resolución del juicio de divorcio.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;El acreedor que cobra intereses superiores a la tasa fijada por las leyes 7683 y 8018, debe reintegrar a su deudor el exceso percibido durante la vigencia de esas leyes.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Contra un documento carece de eficacia la declaración de testigos.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Interpretación del Inc. 3º del Art. 658 del C. C. del 52 y aplicación del Art. 722 del mismo cuerpo de leyes.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La renta vitalicia en los casos de enfermedad profesional, comienza a regir desde la fecha de la citación con la demanda.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;No procede la acción de retracto fuera del término que fija el Art. 1446 del C. C.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Aplicación del Art. 57 del Código de Comercio para la interpretación de los contratos mercantiles;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La transacción que importa renuncia de derechos de un empleado es nula IPSO JURE. No es necesario sentencia declarativa previa de tal nulidad para reclamar el derecho lesionado;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La demanda sobre extinción de servidumbre, de un fundo arrendado, no debe entenderse únicamente con el locatario sino que debe citarse con ella también al propietario;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;"No hay venta de lo ajeno; son nulas todas las consecuencias que de ella se deriven";Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Los preceptores de las escuelas a quienes se les hace descuento por el Estado para el fondo de montepío aunque reciban sus sueldos de Empresas particulares, no están comprendidos en las leyes del empleado;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Los servidores de los Ferrocarriles del Estado están amparados por las leyes del empleado;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Tratándose de un delito contra el honor sexual en agravio de mayores de 15 años y menores de 21, es improcedente el desistimiento formulado por la agraviada fundado en causal no prevista por la ley;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;El contagio venéreo que es por su carácter personal, no puede considerarse comprendido en el Art. 277 del C. P. que se contrae a la propagación de enfermedades con efectos indeterminados y colectivos;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La imprescriptibilidad de la acción de deslinde, no excluye la prescripción de las zonas limítrofes;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La venta AD CORPUS en la que se reconozca que parte de la propiedad está en litigio, no es título que puede fundamentar la prescripción adquisitiva en el juicio reivindicatorio que se promueva como consecuencia de aquel acto traslativo de dominio;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;No basta para dar la posesión de un bien el título de compra si no se acredita a la vez el derecho con que procedió el vendedor;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Caduca la acción ejecutiva si el auto de pago dictado como su consecuencia, no se notifica dentro del plazo de vigencia de ella;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Es inadmisible el interdicto que se interponga, alegando como acto perturbatorio de la posesión, el ejercicio de una acción ante la justicia;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Las lesiones que se produzcan con ocasión de un delito de robo, no pueden ser apreciadas sino dentro de la grave modalidad que adquiere la infracción penal contra el patrimonio;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Es improcedente la demanda de una enfermera al servicio de un Hospital sostenido por la Beneficencia Pública, reclamando beneficios de la ley del empleado;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;No estando probadas las causales de divorcio, el Juez está capacitado con arreglo al Art. 287 del C. C. para declarar la separación de los cónyuges;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Ordenado el juicio oral, son inadmisibles las articulaciones que promueva el acusado fuera de la audiencia;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Deregado el recurso de habeas corpus, no procede la acción civil de daños y perjuicios derivada del mismo hecho que originó aquel recurso;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;El término para demandar la indemnización por el accidente sufrido por un trabajador corre, sólo desde la fecha en que cesó en el trabajo;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;No está afecto al pago de terrenos sin edificar, aquél que paga predios urbanos y arbitrios de alumbrado y baja policia;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La falta de elementos apropiados para combatir o extinguir un incendio a bordo, hace responsable a quien pertenezca el buque por los daños que el sinistro ocasione a los pasajeros en su persona o equipaje;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;En los interdictos es inadmisible la reconvención;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;No procede la acción ejecutiva si no se recauda la demanda con los instrumentos públicos que acrediten que corresponde al demandante el crédito puesto a cobro;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Estando de acuerdo las partes en la rescisión del contrato social, la liquidación procede con arreglo a la ley y a lo que especialmente determina el contrato;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Resuelta una competencia entre funcionarios del mismo distrito judicial aunque de fuero distinto, por el Tribunal Correccional es inadmisible la resolución que renovando la misma cuestión impetre la dirimencia de la Corte Suprema;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Es nulo el pacto de intereses si el mutuante ha cobrado de hecho réditos usurarios, contra el tenor del contrato e infractorios de la ley prohibitiva de ellos;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Es improcedente el prorrateo de pensión alimenticia entablada por el propio obligado, siendo nulo el embargo trabado como consecuencia de una acción simulada para perjudicar los derechos del alimentario;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Es infundada la ejecución si se deduce y prueba la falsedad o simulación de la obligación cuyo cumplimiento se demanda;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La mujer que de buena fé resultando contrayendo matrimonio con hombre casado, es heredera de éste en concurrencia con los otros herederos legales;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;No procede la condena en costas a quien ejercita un derecho;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La paternidad ilegítima no puede declararse judicialmente en ausencia de los requisitos que establece el Art. 366 del C. C.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;No puede entenderse con el albacea la demanda que tiene por objeto el pago de una deuda indeterminada de la testamentaria, por carecer de personería para comparecer en litigios de esa naturaleza;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;El aceptante de una letra puede oponer al girador ejecutante, todas las excepciones que le favorecen, fundadas en las relaciones personales con dicho ejecutante;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La simple presunción de paternidad puede dar lugar a una obligación alimentaria, pero no a declarar la paternidad;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;No puede juzgarse independientemente el delito de robo y la falsificación que de aquel se desprende;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;"En el juicio de desahucio fundado en la posesión precaria del ocupante, no es posible dejar de apreciar el mérito de un contrato de arrendamiento, invocado contra esa acción, que permite compulsar el valor de ella; siempre que se produzca tal documento dando lugar al debate correspondiente";Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Los inventarios de los bienes de un intestado, sólo deben comprender los que éste poseía como propios al tiempo de su fallecimiento;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;El cobro de los derechos sucesorios de los parientes por afinidad, debe regularse conforme a la escala fijada para los correspondientes consanguíneos;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La divergencia del Tribunal Correccional con su Fiscal sobre la acusación que formule o el archivamiento que pida del proceso, sólo dará lugar a llamar a un segundo Fiscal, el que quedará sujeto a lo prescrito en el Art. 223 del C. de P. P.;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;La suspensión del empleado por su principal no autorizada por la ley, importa una despedida intespectiva;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Es nulo el testamento suscrito por impedimento físico del testador por quien no aparece como testigo testamentario;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;El propietario de un bien no tiene derecho para exigir de su vecino la clausura de ventanas abiertas en el muro divisorio, al no constituir aquello una servidumbre;Anales Judiciales de la Corte Suprema de Justicia 1941
1941;***;Al delincuente habitual, especialmente peligroso, le corresponde la pena de relegación indeterminada;Anales Judiciales de la Corte Suprema de Justicia 1941
1942;***;Para la admisión del interdicto de adquirir a título particular, se debe presentar el título de adquisición del dominio y el título del vendedor.;Anales Judiciales de la Corte Suprema de Justicia 1942
1942;***; Las empresas que se sustituyen o subrogan en los derechos y acciones de otras quedan afectas a las obligaciones derivadas del contrato de emple;Anales Judiciales de la Corte Suprema de Justicia 1942
1942;***; Los servidores de clubs e instituciones sin fin lucrativo no están comprendidos en las leyes del emplead;Anales Judiciales de la Corte Suprema de Justicia 1942
1942;***; Si uno de los cónyuges se adhiere a la demanda de separación interpuesta por el otro, se considera la acción como de mutuo disens;Anales Judiciales de la Corte Suprema de Justicia 1942
1942;***; El marido ejerce en juicio la representación de su mujer sin requerir poder especial para ell;Anales Judiciales de la Corte Suprema de Justicia 1942
1942;***; Las cosas muebles introducidas por el inquilino de la casa responden para el pago de la merced conductiva, aunque no estén canceladas, si no se hizo saber esta circunstancia oportunamente al locado;Anales Judiciales de la Corte Suprema de Justicia 1942
